ID;CODIGO ZONA;PROVINCIA;CENTROIDE
1;ACA;SALTA;CAFAYATE
2;ACP;SALTA;SALTA
3;AME;SALTA;METAN
4;ATA;SALTA;TARTAGAL
5;BAR;BUENOS AIRES;ARRECIFES
6;BBB;BUENOS AIRES;BAHIA BLANCA
7;BBO;BUENOS AIRES;BOLIVAR
8;BBR;BUENOS AIRES;BRAGADO
9;BCA;BUENOS AIRES;CARHUE
10;BCB;BUENOS AIRES;CHACABUCO
11;BCH;BUENOS AIRES;CHASCOMUS
12;BCP;BUENOS AIRES;CABA
13;BDA;BUENOS AIRES;DARREGUEIRA
14;BDO;BUENOS AIRES;DORREGO
15;BGV;BUENOS AIRES;GRAL. VILLEGAS
16;BJU;BUENOS AIRES;JUNIN
17;BLF;BUENOS AIRES;LAS FLORES
18;BLI;BUENOS AIRES;LINCOLN
19;BLO;BUENOS AIRES;LOBOS
20;BMA;BUENOS AIRES;MAIPU
21;BME;BUENOS AIRES;MERCEDES
22;BMO;BUENOS AIRES;MONTE
23;BMP;BUENOS AIRES;MAR DEL PLATA
24;BNE;BUENOS AIRES;NECOCHEA
25;BNU;BUENOS AIRES;9 DE JULIO
26;BOL;BUENOS AIRES;OLAVARRIA
27;BPE;BUENOS AIRES;PERGAMINO
28;BPI;BUENOS AIRES;PIGUE
29;BPO;BUENOS AIRES;PEHUAJO
30;BPR;BUENOS AIRES;CORONEL PRINGLES
31;BSA;BUENOS AIRES;S.A. ARECO
32;BSG;BUENOS AIRES;S.A. DE GILES
33;BSN;BUENOS AIRES;SAN NICOLAS
34;BSO;BUENOS AIRES;SALADILLO
35;BSP;BUENOS AIRES;SAN PEDRO
36;BTA;BUENOS AIRES;TANDIL
37;BTL;BUENOS AIRES;TRENQUE LAUQUEN
38;BTR;BUENOS AIRES;TRES ARROYOS
39;BZA;BUENOS AIRES;ZARATE
40;CBV;CORDOBA;BELL VILLE
41;CCP;CORDOBA;CORDOBA
42;CDF;CORDOBA;DEAN FUNES
43;CHR;CORDOBA;HUINCA RENANCO
44;CLA;CORDOBA;LABOULAYE
45;CLC;CORDOBA;LA CARLOTA
46;CRC;CORDOBA;RIO CUARTO
47;CSF;CORDOBA;SAN FRANCISCO
48;CVD;CORDOBA;VILLA DOLORES
49;CVM;CORDOBA;VILLA MARIA
50;DCH;LA RIOJA;CHEPES
51;DCO;LA RIOJA;CHILECITO
52;DCP;LA RIOJA;LA RIOJA
53;ECO;ENTRE RIOS;CONCORDIA
54;ECP;ENTRE RIOS;PARANÁ
55;EGU;ENTRE RIOS;GUALEGUAYCHU
56;ENO;ENTRE RIOS;NOGOYA
57;ERT;ENTRE RIOS;ROSARIO DEL TALA
58;FCL;FORMOSA;CLORINDA
59;FCP;FORMOSA;FORMOSA
60;FLL;FORMOSA;LAS LOMITAS
61;GCD;SANTIAGO DEL ESTERO;C.DORA
62;GCP;SANTIAGO DEL ESTERO;SANTIAGO DEL ESTERO
63;GFR;SANTIAGO DEL ESTERO;FRIAS
64;GMQ;SANTIAGO DEL ESTERO;MONTE QUEMADO
65;GQU;SANTIAGO DEL ESTERO;QUIMILI
66;GSU;SANTIAGO DEL ESTERO;SUMAMPA
67;HCP;CHACO;RESISTENCIA
68;HJC;CHACO;JUAN JOSE CASTELLI
69;HSP;CHACO;PRESIDENCIA SAENZ PEÑA
70;HVA;CHACO;VILLA ANGELA
71;JCP;SAN JUAN;SAN JUAN
72;JJA;SAN JUAN;JACHAL
73;KAN;CATAMARCA;ANDALGALA
74;KBE;CATAMARCA;BELÉN
75;KCP;CATAMARCA;CATAMARCA
76;LBA;SAN LUIS;BUENA ESPERANZA
77;LCP;SAN LUIS;SAN LUIS
78;LVM;SAN LUIS;V. MERCEDES
79;MCP;MENDOZA;MENDOZA
80;MSR;MENDOZA;SAN RAFAEL
81;NCP;MISIONES;POSADAS
82;NIG;MISIONES;IGUAZU
83;NOB;MISIONES;OBERÁ
84;OCP;TIERRA DEL FUEGO;USHUAIA
85;ORG;TIERRA DEL FUEGO;RIO GRANDE
86;PCP;LA PAMPA;STA. ROSA
87;PGA;LA PAMPA;GRAL. ACHA
88;PGP;LA PAMPA;GRAL. PICO
89;PVE;LA PAMPA;25 DE MAYO
90;QCP;NEUQUEN;NEUQUEN
91;QZA;NEUQUEN;ZAPALA
92;RBA;RIO NEGRO;BARILOCHE
93;RCP;RIO NEGRO;VIEDMA
94;RGR;RIO NEGRO;GENERAL ROCA
95;RIJ;RIO NEGRO;ING. JACOBACCI
96;RRC;RIO NEGRO;RIO COLORADO
97;RSA;RIO NEGRO;S.A. OESTE
98;SCE;SANTA FE;CERES
99;SCG;SANTA FE;CAÑADA DE GOMEZ
100;SCP;SANTA FE;SANTA FE
101;SRA;SANTA FE;RAFAELA
102;SRE;SANTA FE;VERA
103;SRO;SANTA FE;ROSARIO
104;SSJ;SANTA FE;SAN JUSTO
105;SVC;SANTA FE;VILLA CONSTITUCIÓN
106;SVT;SANTA FE;VENADO TUERTO
107;TCO;TUCUMAN;CONCEPCION
108;TCP;TUCUMAN;TUCUMAN
109;TLA;TUCUMAN;LAMADRID
110;UCP;CHUBUT;TRELEW
111;UCR;CHUBUT;COMODORO RIVADAVIA
112;UES;CHUBUT;ESQUEL
113;WCP;CORRIENTES;CORRIENTES
114;WES;CORRIENTES;ESQUINA
115;WGO;CORRIENTES;GOYA
116;WMC;CORRIENTES;MONTE CASEROS
117;WPL;CORRIENTES;PASO DE LOS LIBRES
